round,left_agent,right_agent,left_score,right_score,left_reward,right_reward,left_status,right_status
0,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,2,4,-2,2,DONE,DONE
0,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,4,5,-1,1,DONE,DONE
0,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,0,2,-2,2,DONE,DONE
0,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v32.py,1,5,-4,4,DONE,DONE
0,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,2,3,-1,1,DONE,DONE
0,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,1,1,0,0,DONE,DONE
0,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v32.py,2,2,0,0,DONE,DONE
0,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,3,2,1,-1,DONE,DONE
0,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v32.py,2,1,1,-1,DONE,DONE
0,gfootball-with-memory-patterns/submission_v28.py,gfootball-with-memory-patterns/submission_v32.py,3,6,-3,3,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,1,3,-2,2,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,0,3,-3,3,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,2,2,0,0,DONE,DONE
1,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v32.py,3,1,2,-2,DONE,DONE
1,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,4,2,2,-2,DONE,DONE
1,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,2,4,-2,2,DONE,DONE
1,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v32.py,0,1,-1,1,DONE,DONE
1,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,3,6,-3,3,DONE,DONE
1,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v32.py,1,3,-2,2,DONE,DONE
1,gfootball-with-memory-patterns/submission_v28.py,gfootball-with-memory-patterns/submission_v32.py,2,1,1,-1,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,0,3,-3,3,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,1,4,-3,3,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,1,5,-4,4,DONE,DONE
2,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v32.py,4,2,2,-2,DONE,DONE
2,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,2,2,0,0,DONE,DONE
2,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,0,1,-1,1,DONE,DONE
2,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v32.py,0,2,-2,2,DONE,DONE
2,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,2,0,2,-2,DONE,DONE
2,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v32.py,1,4,-3,3,DONE,DONE
2,gfootball-with-memory-patterns/submission_v28.py,gfootball-with-memory-patterns/submission_v32.py,1,3,-2,2,DONE,DONE
3,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,4,2,2,-2,DONE,DONE
3,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,3,3,0,0,DONE,DONE
3,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,2,2,0,0,DONE,DONE
3,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v32.py,1,6,-5,5,DONE,DONE
3,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,1,3,-2,2,DONE,DONE
3,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,0,3,-3,3,DONE,DONE
3,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v32.py,1,1,0,0,DONE,DONE
3,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,2,0,2,-2,DONE,DONE
3,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v32.py,1,6,-5,5,DONE,DONE
3,gfootball-with-memory-patterns/submission_v28.py,gfootball-with-memory-patterns/submission_v32.py,2,2,0,0,DONE,DONE
4,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,0,1,-1,1,DONE,DONE
4,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v15.py,1,2,-1,1,DONE,DONE
4,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v28.py,2,3,-1,1,DONE,DONE
4,tunable-baseline-bot/submission_v6.py,gfootball-with-memory-patterns/submission_v32.py,1,3,-2,2,DONE,DONE
4,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v15.py,3,4,-1,1,DONE,DONE
4,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v28.py,0,0,0,0,DONE,DONE
4,best-open-rules-bot/submission_v2.py,gfootball-with-memory-patterns/submission_v32.py,1,3,-2,2,DONE,DONE
4,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v28.py,2,1,1,-1,DONE,DONE
4,gfootball-with-memory-patterns/submission_v15.py,gfootball-with-memory-patterns/submission_v32.py,1,2,-1,1,DONE,DONE
4,gfootball-with-memory-patterns/submission_v28.py,gfootball-with-memory-patterns/submission_v32.py,0,1,-1,1,DONE,DONE
5,tunable-baseline-bot/submission_v6.py,best-open-rules-bot/submission_v2.py,1,6,-5,5,DONE,DONE
